|joey|rachel|monica|phoebe|chandler|ross|other
grotesquely|0|0|0|1|0|0|0
tinsel|0|0|0|1|0|0|0
twinkly|0|0|0|1|0|0|0
lugging|1|0|0|1|0|0|0
fulfilling|2|0|0|0|1|0|1
delivered|0|0|1|0|1|1|4
trays|0|1|0|3|0|0|0
‘tray|0|0|0|0|0|0|1
sells|0|0|0|2|0|0|2
spacecamp|0|0|0|0|0|4|1
shuttle|0|0|0|0|0|0|2
apartments|1|0|2|0|1|2|3
daydreaming|0|0|0|0|0|0|1
outer|0|0|0|0|0|0|1
taj|0|0|0|0|0|0|1
mahal|0|0|0|0|0|0|1
india|0|0|1|0|0|1|0
atlantic|1|1|1|3|3|3|2
slots|0|0|0|0|1|0|1
prize|0|0|2|2|0|8|1
sarah|1|1|0|3|0|4|5
curtains|0|0|1|0|0|0|1
astronauts|0|0|0|0|0|0|1
peephole|0|1|0|0|0|0|1
honorary|0|0|0|0|0|1|0
overs|0|0|0|0|0|1|0
policeman|0|1|0|0|1|0|1
realilized|0|0|0|1|0|0|0
destiny|1|0|0|2|0|0|1
yikes|0|0|0|2|0|0|0
ageist|0|0|0|1|0|0|0
chipper|2|0|2|1|0|0|0
shapes|0|1|0|0|1|1|0
rudolph|0|0|0|0|0|1|1
jesus|0|0|0|0|1|2|0
jesus’s|1|0|0|0|0|0|0
flavoured|0|0|0|0|1|0|0
deities|0|0|0|0|1|0|0
menoreoes|0|0|0|0|0|1|0
treasures|0|0|3|0|0|1|0
gaining|0|0|1|0|0|0|0
rudolph’s|0|0|0|0|0|1|0
trap|0|0|2|0|0|0|2
spiders|0|0|0|0|0|0|1
temporary|2|0|0|1|0|2|1
pursuing|0|1|0|0|1|0|0
motivation|0|0|0|0|1|0|0
‘the|0|1|1|0|1|2|0
fear’|0|1|0|0|0|0|0
review|0|0|5|0|0|4|4
handles|1|1|2|0|0|0|2
‘laser|0|0|0|0|0|1|0
floyd’|0|0|0|0|0|1|0
planetarium|0|1|0|0|0|2|0
occurred|0|0|0|1|1|1|0
success|0|2|1|0|0|1|1
munchies|0|0|0|0|0|1|0
dorms|0|0|0|0|0|1|0
stuffers|0|1|0|0|0|0|0
lickers|0|1|0|0|0|0|0
font|0|0|0|0|0|1|1
squad|0|0|0|0|1|0|0
fortunata|1|0|0|0|0|0|0
fashions|1|0|0|0|0|0|0
plumbing|1|0|0|0|0|0|0
lookie|1|0|0|0|0|0|0
fir|1|0|0|0|0|0|0
fulfil|1|0|0|1|0|0|0
commission|1|1|0|1|0|0|0
further|4|0|0|1|0|4|3
one’s|1|2|2|8|4|2|3
sarah’s|0|0|0|0|0|0|1
scrud|0|0|0|0|0|2|2
tallies|0|0|0|0|0|0|1
321|0|0|0|0|0|0|1
charla|0|0|0|0|0|0|1
278|0|0|0|0|0|0|1
871|0|0|0|0|0|0|1
batting|0|0|0|0|0|1|2
872|0|0|0|0|0|0|1
nuget|0|0|0|0|0|1|0
diffency|0|0|0|0|0|1|0
loaned|0|0|0|0|0|1|0
nimitz|0|0|0|0|0|1|0
how’d|2|1|5|5|7|3|2
swans|0|1|1|0|0|1|0
perked|0|0|0|0|1|0|0
‘night|0|0|0|0|1|0|0
kidder|0|0|0|0|1|0|0
offence|0|1|0|1|0|0|0
sr|0|0|0|0|0|0|1
part’s|2|0|0|0|0|1|1
filters|0|0|0|0|0|1|1
presenting|0|0|0|0|0|1|2
tuttle’s|0|0|0|0|0|1|0
mission|0|0|1|0|0|1|0
countdown|2|0|1|0|1|1|1
alien|0|0|0|0|2|0|0
asteroid|0|0|0|0|0|1|0
memorize|3|0|1|0|0|1|1
exist|2|0|0|1|2|1|1
somebody’s|2|5|1|0|1|4|0
‘step|0|0|0|1|0|0|0
lightly|0|1|0|1|0|0|0
apologizing|0|1|2|0|0|0|1
nouse|0|0|0|0|1|0|0
whipping|0|0|0|0|1|0|0
kid’s|0|0|0|1|1|0|0
katherine|1|0|0|0|0|0|0
sush|0|0|1|0|0|0|0
arrghh|0|0|0|0|1|0|0
og|0|0|0|0|2|0|0
errigh|0|0|0|0|1|0|0
gassy|0|0|0|0|0|0|1
‘what’s|0|0|0|0|0|0|1
related|0|3|2|0|3|4|1
hangers|0|0|0|0|0|0|1
asap|0|0|0|0|0|0|1
demeaning|0|1|0|0|0|0|0
remotely|0|1|0|0|0|0|0
yentel|0|0|1|0|0|0|0
dowdy|0|0|1|0|0|0|0
mira|0|1|0|0|0|0|0
arthritic|0|1|0|0|0|0|0
seamstress|0|1|0|0|0|0|0
mannequin|0|0|0|0|0|0|1
mannequins|0|0|0|0|0|0|1
enjoying|2|3|2|1|4|1|2
bloomingdale’s|0|6|0|1|0|0|1
pickle|3|1|1|1|0|2|0
jell|1|1|1|0|1|0|0
passin’|1|0|0|0|0|0|1
dillillio|0|0|0|0|1|0|0
vodka|1|0|2|1|0|0|0
apparent|0|0|0|0|0|1|0
ross’|2|1|0|0|0|0|1
hammered|1|1|2|0|1|0|0
drinkin’|1|0|0|0|0|1|1
‘cha|1|2|1|0|1|2|1
dialer|0|0|0|0|1|0|0
speedily|0|0|0|0|1|0|0
savor|0|0|0|0|1|0|0
‘hummina|0|0|1|0|0|0|0
hummina|0|0|2|0|0|0|0
showers|0|2|0|0|0|0|0
feelin’|0|0|2|0|0|0|1
storage|1|1|1|0|1|0|0
‘woo|0|0|0|0|2|0|0
hooing|0|0|0|0|2|0|0
gina|0|0|1|0|0|1|0
dina|6|6|1|0|0|0|2
dwha|0|0|0|2|1|0|0
veronica|0|0|0|0|2|0|0
overly|0|0|0|0|1|0|0
witnesses|0|1|0|0|1|0|1
gettin’|7|6|2|0|1|3|2
groping|1|0|0|0|0|0|0
sittin’|5|1|0|0|0|1|0
weekend’s|0|0|1|0|0|0|0
hardest|0|2|2|2|1|1|2
letter|1|3|1|0|7|7|2
react|0|1|1|1|0|3|1
cuba|0|0|0|0|1|1|0
mussolinis|1|0|0|0|0|0|0
bummer|0|0|0|1|1|1|0
giddy|0|1|0|0|0|0|0
genuinely|0|0|0|0|0|1|1
pushy|0|0|1|0|0|1|0
niece|0|2|0|0|0|0|1
pioneers|0|1|0|0|0|0|0
collar|0|0|0|0|2|3|0
baggy|0|0|0|0|0|1|0
‘why|0|0|0|0|0|1|0
surgically|1|0|0|0|0|1|0
meal|3|1|0|0|3|1|1
teramisu|0|0|0|0|1|0|1
notch|2|0|0|1|2|0|0
squinting|0|0|0|0|1|0|0
we’d|1|3|6|1|7|11|4
softest|0|0|0|0|1|0|1
goin’|2|2|2|1|2|0|0
kissin’|0|0|0|0|0|0|1
brother’s|1|0|1|3|1|0|0
receiving|4|0|1|0|0|1|0
soberly|0|0|0|0|1|0|0
apology|2|1|1|2|3|0|0
interviewed|0|2|0|0|0|0|0
coached|0|1|0|0|0|0|0
congratu|0|0|0|0|0|1|0
lations|0|0|0|0|0|2|0
eavesdropping|0|1|0|1|0|0|0
pogo|0|0|0|0|0|2|0
consolation|0|0|1|0|1|0|0
bachelor|5|2|2|1|8|4|1
albert|0|0|0|0|2|3|0
botanist|0|0|0|0|1|1|0
botanists|0|0|0|0|0|1|0
geeks|2|0|0|0|0|1|0
purses|0|0|1|1|0|0|0
turtles|0|1|0|1|1|0|0
lunchbox|0|1|0|0|0|0|0
clich�|0|0|0|1|0|0|0
magician|0|0|0|2|1|0|0
cheeks|0|1|0|0|1|1|1
outloud|0|0|0|0|1|0|0
tale|2|2|0|0|0|0|0
dickens|0|0|0|0|0|1|0
cliff|2|1|0|1|1|0|0
notes|1|0|2|0|1|1|2
abridgment|0|0|0|0|1|0|0
invoice|0|0|0|0|0|0|2
greens|1|4|0|0|0|2|2
goofing|0|1|3|1|1|1|0
joannas|0|1|0|0|0|0|0
assistants|0|1|1|0|0|1|0
shipped|0|2|0|0|0|0|0
personnel|0|1|0|0|0|0|0
julio|0|0|3|1|0|2|3
adios|0|0|0|0|0|0|1
beaudalire|0|0|0|0|0|0|1
translations|0|0|0|0|0|0|1
poet|0|0|1|0|0|0|2
epic|0|0|0|0|1|0|1
boyyyyssss|1|0|0|0|0|0|0
jazz|1|1|1|0|0|0|2
roles|0|0|0|0|0|0|2
twila|0|0|0|0|1|0|0
tharp|0|0|0|0|1|0|0
ballet|0|0|0|0|1|1|1
lies|1|0|0|1|0|0|1
provide|0|0|0|1|1|0|0
senorita|0|0|0|1|0|0|0
meteor|1|0|0|0|0|0|0
chandelier|1|0|0|1|1|0|0
dense|0|0|1|1|0|0|0
poetry|0|1|1|1|0|3|0
translucent|1|0|0|0|0|0|0
vessel|0|0|0|1|0|0|0
emptier|0|0|0|1|0|0|0
ralph|2|31|3|6|4|2|12
lauren|6|25|2|5|4|2|7
file|0|1|2|1|2|0|7
omm|0|0|0|0|0|0|3
loyal|0|0|1|0|0|1|1
barbershop|0|0|0|0|0|1|0
quartet|0|0|1|0|0|1|1
anymorrrrre|0|0|0|0|0|1|0
marking|0|1|0|0|0|0|1
confidant|0|0|0|0|1|0|0
complain|0|0|0|0|1|2|1
visits|0|0|0|0|1|0|0
meanwhile|1|1|0|1|2|1|0
hhiii|1|0|0|0|0|0|0
paints|0|0|0|1|1|0|0
shelly|0|0|0|0|1|0|1
siegal|0|0|0|0|0|0|1
dancers|2|0|0|0|0|0|1
pas|0|0|0|0|0|0|2
bouree|0|0|0|0|0|0|2
grand|1|0|1|0|0|1|4
sissone|0|0|0|0|0|0|3
ity|1|0|0|0|0|0|0
poems|0|0|1|0|0|1|1
magazine|2|0|4|1|2|0|1
catalog|1|2|2|0|0|0|1
sh|1|0|0|0|2|1|1
boree|0|0|0|0|0|1|0
strippers|4|1|1|1|4|1|0
pretensous|0|0|0|0|0|0|1
finer|0|0|0|0|0|0|1
unpublished|0|0|0|0|0|0|1
headdddd|0|0|0|0|0|0|1
buttmunch|0|0|0|0|0|0|2
bedd|0|0|0|0|0|0|1
edd|0|0|0|0|0|0|2
o’clock|3|3|2|1|3|2|4
02|0|0|1|0|0|0|1
grabbing|0|0|1|0|0|0|1
static|0|0|1|0|0|0|0
cling|0|0|1|0|0|0|0
classics|0|0|2|0|0|0|0
citizen|1|1|0|0|0|0|1
kane|1|1|0|0|0|0|1
vertigo|0|0|0|0|0|0|1
clockwork|0|0|0|0|0|0|1
orgy|0|0|0|0|0|0|1
grope|0|0|0|0|0|0|1
roller|1|1|0|2|1|0|0
jogs|0|0|0|1|0|0|0
swims|0|0|0|1|0|0|0
jock|1|0|0|1|0|0|0
burger|2|0|1|2|1|1|0
nothing’s|0|0|1|0|0|0|2
reps|0|1|0|0|0|0|0
calvin|1|2|0|0|0|0|0
klien|0|1|0|0|0|0|0
robert’s|0|0|0|1|1|0|0
necessary|0|0|0|1|2|1|2
wellll|0|0|0|0|1|0|0
directly|0|0|2|1|1|1|2
eclipse|0|0|0|0|1|0|0
complement|0|0|1|0|0|0|3
‘thank|0|0|1|0|0|0|0
squishing|0|0|2|0|0|0|1
people’s|1|1|4|2|0|1|0
eyeballs|0|0|1|0|0|1|0
squish|0|0|0|0|0|0|1
amy|2|21|0|0|0|4|11
jo’s|3|0|0|0|0|1|0
manuscript|1|0|0|0|0|0|0
josephine|0|0|0|0|1|1|0
laurie’s|0|0|0|0|1|0|0
foul|0|0|0|1|0|0|1
pointer|0|0|1|2|1|0|0
dainty|0|0|0|1|0|0|0
quarter|1|3|2|2|1|1|6
testy|0|0|0|0|0|1|0
concealed|0|0|0|0|1|0|1
hoped|0|0|0|0|1|0|0
platonic|0|0|1|0|0|0|0
cancelling|0|0|1|0|0|0|0
cage|2|1|0|1|0|1|1
217|0|1|0|0|0|0|0
bathtub|3|0|0|0|1|0|0
meh|0|1|0|0|0|0|0
blanks|1|0|0|0|0|0|0
make’s|1|0|0|0|0|0|0
proposes|0|1|0|0|0|0|0
marring|0|1|0|0|0|0|0
boiler|1|0|0|0|0|0|0
explodes|1|0|0|0|0|0|0
destroys|1|0|0|0|0|0|0
beth|5|1|0|0|1|0|0
nicholson|0|0|0|0|0|1|0
shifts|0|0|1|0|0|0|0
grill|0|0|1|0|0|0|0
‘is|0|0|0|2|0|0|0
complementary|0|0|0|0|0|1|0
climbing|0|0|0|0|2|0|2
else’s|0|0|0|0|0|1|2
rooms|0|2|3|1|5|3|4
walls|0|4|2|0|0|1|1
exclusive|2|0|0|0|0|0|2
vowed|0|0|1|0|0|0|0
thing’s|0|0|0|0|0|0|1
thorns|0|0|1|0|0|0|0
rhyming|0|0|0|1|0|0|0
styles|0|0|0|0|0|1|0
beside|0|0|0|0|0|0|1
meeeee|0|0|0|0|0|0|1
eeee|0|0|0|1|0|0|1
ee|0|0|0|0|1|0|1
song’s|0|0|0|0|0|0|1
partners|0|0|3|1|1|0|2
‘look|0|0|0|1|0|0|0
hidden|0|0|2|2|2|1|0
meaning’|0|0|0|1|0|0|0
vlad|0|0|0|0|0|0|1
several|0|1|1|0|1|1|1
jingles|1|0|0|1|0|0|0
stew|0|1|1|0|1|0|1
betray|0|0|0|1|0|0|0
unyielding|0|0|0|1|0|0|0
penetrate|0|0|0|1|0|0|0
icy|0|0|0|1|0|0|0
exterior|0|1|0|1|0|0|0
‘wait|0|0|0|0|1|0|0
ladys|0|0|0|1|0|0|3
lid|0|1|0|0|0|0|1
hiding|1|0|1|1|1|0|3
delicacy|0|0|1|0|0|0|0
gingeer|1|0|0|0|0|0|0
dad’s|3|5|1|0|0|3|2
poisoning|1|1|1|1|0|1|0
artificial|1|0|0|0|0|0|0
men’s|2|1|0|1|1|2|1
puddle|0|0|0|0|2|0|0
bionic|0|0|0|0|1|0|0
lecture|0|4|1|0|1|5|3
‘see|0|1|0|0|0|0|0
saturday’|0|1|0|0|0|0|0
haa|0|0|0|0|0|3|0
monger|0|0|0|0|0|1|0
pheebs’|0|0|0|1|0|0|0
saddest|0|0|0|1|0|0|0
holes|0|1|0|0|0|0|1
feet’s|0|0|0|0|0|0|1
chicky|0|0|0|0|0|0|1
sticky|0|0|0|4|0|0|4
avoid|1|0|0|0|0|2|5
pillleeeee|0|0|0|0|0|0|1
layering|0|0|0|0|0|0|1
sheer|0|0|0|0|1|0|2
fabrics|1|0|0|0|0|0|1
colours|0|1|0|2|0|1|2
litter|0|1|0|1|0|0|3
jingle|0|0|0|3|0|0|2
millionaire|2|2|0|1|1|1|0
oversized|0|0|0|0|0|0|2
bracelets|0|0|0|0|0|0|1
oversizing|0|0|0|0|0|0|1
accessories|0|0|0|0|0|0|1
milk’s|0|0|1|0|0|0|0
greatness|0|0|0|0|1|0|0
burnin’|2|0|0|0|0|0|0
longshot|1|0|0|0|0|0|0
snoring|0|1|2|0|1|0|0
father’s|0|1|1|1|1|1|0
strappy|0|0|0|0|0|1|0
dresses|0|0|4|1|2|1|1
professor|2|3|2|2|4|22|10
pitstains|0|1|0|0|0|0|0
gazillion|0|1|0|0|0|0|0
pittain|0|0|0|0|0|1|0
jurassic|3|1|0|0|0|2|0
parka|0|0|0|0|0|1|0
insist|1|2|1|0|1|1|3
slipping|0|0|1|0|0|1|0
clearer|0|0|0|0|0|1|0
‘how|0|0|0|0|0|0|1
qualifies|0|0|0|0|1|1|0
poopy|0|0|0|1|0|0|0
odour|0|0|0|0|0|0|1
life’s|1|1|0|1|0|1|0
lessons|0|0|1|1|3|1|0
‘jingle|0|0|0|1|0|0|0
ectomy|0|0|0|0|1|0|0
olives|2|0|0|0|0|0|0
atlas|0|0|1|3|0|0|0
diplomat|0|0|0|1|0|0|1
nobel|0|0|2|2|0|7|1
anis|0|0|0|1|0|0|0
‘g’|0|0|0|1|0|0|0
globe|1|0|2|0|1|2|0
dashing|0|0|0|1|0|0|1
translator|0|0|0|2|0|0|0
sharpener|0|0|1|0|0|0|0
gawk|1|0|0|0|0|0|0
chloe|0|0|0|0|5|4|2
customer|0|1|2|0|1|0|4
copying|1|0|1|0|0|0|0
issac’s|0|0|0|0|1|0|1
philly|0|0|0|0|0|0|1
‘walking|0|0|0|0|0|0|1
moment’s|0|0|0|1|0|0|0
sergei|0|0|0|5|0|0|2
germans|0|0|0|1|0|0|0
extent|1|0|1|0|0|0|0
doodle|0|1|1|0|0|0|0
ladybug|0|0|1|0|0|0|0
disaster|0|3|0|0|0|1|1
translator’s|0|0|0|1|0|0|0
presented|1|0|0|0|0|0|0
itself|3|1|0|2|0|1|1
tails|2|2|1|3|0|1|1
purchase|0|1|0|1|0|1|1
rivera|0|1|0|0|0|0|0
variety|0|1|0|0|0|0|0
cous|0|0|2|0|3|2|0
robbinson|0|1|0|0|0|0|0
038|0|2|0|0|0|0|0
atlanta|0|1|1|0|0|0|1
schemp|0|1|0|0|0|0|0
sophie|0|4|0|1|1|1|6
deadline|0|1|0|0|0|1|0
stressed|0|0|0|0|1|1|0
apologise|0|1|0|1|0|1|2
urrrgh|0|2|0|0|0|0|0
frozen|0|0|1|1|1|3|0
yogart|0|0|0|0|0|2|0
advances|0|1|0|0|0|0|1
collating|0|0|0|0|0|0|1
5000|0|0|0|0|0|0|2
71|0|0|0|0|0|1|1
blown|0|0|0|0|0|0|2
‘let’s|0|0|0|0|0|0|1
voulez|0|0|1|0|0|0|0
vous|0|0|1|2|0|0|0
coucher|0|0|1|0|0|0|0
avec|0|0|1|1|0|0|0
moi|0|0|1|1|0|0|0
ce|0|0|1|1|0|0|0
soir|0|0|1|0|0|0|0
maurice|0|0|3|0|0|0|0
fascinated|0|0|0|1|1|0|1
boutros|0|0|0|4|0|0|2
gali|0|0|0|2|0|0|1
talky|0|0|0|1|0|0|0
golden|3|0|1|0|1|0|1
mischa|0|0|0|1|0|0|0
silently|0|0|1|0|0|0|0
swimming|1|0|0|0|4|0|0
myth|0|0|0|0|1|0|0
lenny|1|0|0|0|1|0|0
believes|1|1|0|0|0|2|0
treats|1|1|2|4|0|0|0
eggroll|0|0|0|0|0|0|1
languages|0|0|0|3|0|0|1
choke|0|0|0|1|1|0|0
accepted|1|0|0|2|1|0|0
resigned|0|0|0|0|0|0|1
accompany|0|0|0|0|0|0|1
diplomatic|0|0|1|0|0|0|1
coupons|0|1|2|0|0|0|1
touchet|0|0|0|0|0|0|2
americccan|0|0|0|0|0|0|1
ameri|0|0|0|2|0|0|2
ccan|0|0|0|0|0|0|2
previously|1|0|0|0|0|0|3
urrgh|0|1|0|0|0|0|0
rushing|0|1|0|0|1|0|3
mopping|0|0|0|1|0|0|0
fabutec|0|0|0|1|0|0|0
info|1|0|1|0|0|0|1
mercial|1|0|1|0|0|0|1
waxing|0|0|2|0|0|0|0
waxine|0|0|0|3|0|0|0
organic|0|0|1|1|0|0|0
substances|0|0|1|0|0|0|0
depths|0|0|1|0|0|0|0
rachel’s|5|0|10|8|4|7|5
‘what|0|0|0|0|0|1|0
rebuild|1|0|0|0|0|1|0
nobody’s|1|0|0|0|1|0|0
benefit|2|0|0|1|2|0|1
timing’s|1|0|0|0|1|0|0
deathbeds|0|0|0|0|1|0|0
trail|3|0|0|0|1|2|0
issac|0|0|0|0|1|6|1
phoebe’s|6|7|6|0|4|4|1
linen|0|0|0|2|0|1|0
strips|0|0|1|2|0|0|0
grasp|0|0|0|1|0|0|0
‘easy|0|0|0|1|0|0|0
tab’|0|0|0|1|0|0|0
zine|0|0|1|0|0|0|0
nighties|0|0|0|1|0|0|0
deadened|0|0|1|0|0|0|0
anybody’s|0|0|0|1|0|0|1
agreeing|0|1|0|0|1|1|0
treated|1|0|0|0|1|2|1
nicely|1|0|0|1|1|0|0
mature|1|4|0|2|3|2|3
fingernails|0|0|0|1|0|0|0
ewwwww|3|0|0|0|0|0|0
disgusted|0|0|0|0|0|1|0
jeopardising|0|2|0|0|0|0|0
jeopardise|0|0|0|0|0|1|0
technicality|0|1|1|0|0|0|0
someone’s|0|0|3|2|1|1|1
rehack|0|0|0|1|0|0|0
writhing|0|1|0|0|0|0|0
devastated|1|0|1|0|0|1|0
anchovies|1|1|0|0|0|1|0
‘take|1|0|0|0|0|0|0
notice’|1|0|0|0|0|0|0
nor|0|1|1|1|0|2|0
picturing|1|2|0|0|4|0|0
comics|2|0|1|1|1|1|0
hangin’|1|1|1|0|0|0|0
moisturiser|1|1|0|0|0|1|0
forgiven|1|0|0|2|1|0|0
unreasonable|2|1|1|1|1|3|0
60|0|1|1|3|0|2|1
pharmaceutical|0|0|0|1|0|0|1
drug|0|0|0|3|0|1|3
kidnap|0|0|0|0|1|0|0
skedaddle|0|0|0|1|0|0|0
highness|0|0|0|1|0|0|0
meee|0|1|0|0|0|0|0
klein|0|1|0|0|0|0|0
dealie|0|0|0|1|0|0|0
recorded|0|0|0|0|1|1|0
heels|2|1|0|0|0|1|0
yeahhh|0|0|0|0|1|0|0
hymn|0|0|0|0|1|0|0
253|0|0|0|0|1|0|0
sparrow|0|0|0|0|1|0|0
defence|0|0|0|0|1|0|0
marathon|0|0|0|0|0|1|0
darts|1|0|0|0|0|1|0
grrreat|1|0|0|0|1|0|0
fudge|0|0|1|0|0|1|0
tinted|1|0|0|0|0|0|0
smoking’|0|0|0|1|0|0|0
unscheduled|0|0|1|0|0|0|0
goooooooooo|0|0|0|0|1|0|0
brace|0|0|0|0|1|0|0
pees|0|1|1|2|0|2|0
restrooms|0|0|1|0|0|0|0
tuschy|0|1|0|0|0|0|0
everybody’s|1|2|0|1|3|0|1
lighter’s|0|0|0|0|1|0|0
tailpipe’s|0|0|0|0|1|0|0
hadn’t|2|3|4|1|0|4|0
wire|3|0|3|2|0|1|0
underwire|1|0|0|0|0|0|0
therefore|1|0|0|0|1|0|0
deceptively|0|1|0|0|0|0|0
compromise|0|1|0|1|1|1|0
littered|0|0|0|0|1|0|0
nicest|0|2|0|2|2|0|1
hostages|0|0|0|0|0|1|1
susan’s|0|0|0|0|0|2|2
anniversaries|0|0|0|0|0|1|0
lasts|0|0|0|1|0|1|0
triple|0|0|0|2|0|0|0
freemont|0|0|1|0|0|0|0
westmont|0|0|1|0|0|0|0
westburg|0|0|1|0|0|0|0
93|0|0|0|3|0|0|0
smokey|1|1|1|0|0|0|1
highway|1|0|1|0|0|0|0
collapsed|1|0|0|0|0|0|0
lung|0|0|0|0|1|0|1
capacity|0|0|0|0|1|0|0
unsettling|0|0|0|0|2|0|0
717|0|0|0|0|0|2|0
whispering|1|1|0|1|1|2|1
tampons|0|0|2|0|0|1|1
tow|0|0|0|1|0|0|0
sulk|0|0|0|0|0|0|2
‘pleh’|0|0|1|0|0|0|0
‘help’|1|0|0|0|0|0|0
helicopters|1|1|0|0|0|0|0
stepping|0|0|0|1|0|1|1
mosey|0|0|0|0|0|1|0
interstate|0|0|0|0|0|1|0
arrrghh|1|0|0|0|0|0|0
skier|0|1|0|0|0|0|0
handle’s|0|0|0|0|1|0|0
cab’s|0|0|0|0|0|1|0
unsupported|0|0|0|1|0|0|0
rodeo|0|1|1|1|0|0|0
winters|0|0|0|0|1|0|0
poseidon|0|0|0|0|1|0|0
battery|0|0|0|1|0|2|0
skimp|0|0|0|0|0|1|0
112|0|0|0|0|0|1|0
110|0|0|0|0|0|1|0
exercise|2|0|0|1|1|0|1
practising|1|0|2|0|1|0|0
drag|0|4|0|2|2|0|2
suckle|0|0|0|0|0|0|1
hypnosis|0|1|0|1|0|1|0
pffhah|0|0|0|0|0|1|0
hypnotised|0|1|0|0|0|0|0
hypnotise|0|0|0|0|0|1|0
wipe|0|1|0|0|0|0|0
heather|0|0|0|1|0|0|0
locked|4|5|2|2|6|2|1
receiver|0|0|0|0|0|0|1
vandalism|0|0|0|0|0|0|1
immature|0|0|1|0|0|1|1
fianc�e|0|0|0|0|0|0|2
knight’s|0|0|0|0|0|0|1
alice|0|4|1|12|0|0|6
ec|0|0|1|1|0|0|2
deeper|0|0|0|1|0|0|3
confident|1|1|1|2|2|0|5
cheesecake|2|5|0|0|8|0|2
given’|0|0|0|0|0|0|1
topic|0|0|2|0|0|1|0
wig|0|1|1|0|0|0|0
ruth|0|3|0|0|0|8|2
plain|0|0|2|0|0|0|1
ain’t|0|3|0|0|1|0|1
disarray|0|1|0|0|0|0|0
frank’s|0|0|0|3|0|0|0
economics|0|0|0|1|0|0|0
“hey|1|1|0|0|0|0|0
nudes|1|0|0|0|0|0|1
”|2|10|3|5|4|2|2
“nah|1|0|0|0|0|0|0
walker|0|2|1|0|0|1|0
texas|1|1|1|0|1|0|1
chap|0|0|0|0|1|0|0
tapes|1|1|0|0|0|0|0
becker|0|1|0|0|1|0|3
clinton|0|0|1|0|0|0|1
huggin’|0|0|1|0|1|0|0
invented|3|2|0|1|4|0|0
865|0|0|0|0|1|0|1
44|1|0|0|0|0|0|0
88|1|0|0|0|0|0|0
chicks|6|0|0|2|3|4|1
tastrophe|0|0|0|1|0|0|0
stylish|0|0|0|0|0|0|1
tax|1|0|2|0|2|0|0
romania|0|0|2|0|0|0|0
loon|0|0|1|0|0|0|0
encourage|0|0|1|0|0|0|0
smelled|1|0|0|2|0|2|1
punctured|0|0|0|0|0|0|1
breaths|1|0|0|0|0|0|1
porch|0|1|0|0|0|2|2
storm|2|1|0|0|1|0|1
millionaire’s|0|1|0|0|0|0|0
inviting|0|2|3|0|0|0|1
lire|0|0|1|0|0|0|0
cigarette’s|0|0|0|0|0|0|1
nnnsch|0|0|0|0|0|0|1
shoppin’|0|1|0|0|0|0|0
recognition|0|0|0|1|0|0|1
standard|1|1|0|0|0|0|2
‘wash|0|0|0|0|0|0|1
‘clean|0|0|0|0|0|0|1
doritos|0|0|0|1|0|0|0
snooty|0|0|0|2|1|0|0
separately|0|1|0|0|1|0|0
sized|2|0|0|0|3|1|0
imperial|0|0|0|0|1|0|0
troopers|0|0|0|0|1|0|0
sharper|0|0|0|0|1|0|0
mommie|2|0|0|0|0|0|0
daddie|2|0|0|0|0|0|0
baddie|2|0|0|0|0|0|0
estefan|0|0|0|0|1|0|0
adrienne|3|0|0|0|1|3|1
retarded|0|0|0|0|0|0|1
kate|10|2|1|0|1|0|5
miller|1|1|1|0|0|0|3
play’s|1|0|0|0|0|0|0
jennifer|2|1|0|0|0|0|2
murray’s|0|0|0|0|0|0|1
brilliantly|0|0|0|0|0|0|1
incisive|0|0|0|0|0|0|1
deconstructing|0|0|0|0|0|0|1
psyche|0|0|0|0|0|0|1
datable|1|0|0|0|0|0|0
believing|1|0|0|0|0|0|0
fog|0|2|3|0|0|1|0
realises|0|0|0|0|0|2|0
loveable|1|0|0|0|2|0|0
cd’s|0|1|0|0|0|0|0
don’t’|0|1|0|0|0|0|0
favours|1|0|0|0|0|1|0
petty|0|5|0|0|0|3|1
awwwahuh|0|0|0|0|0|1|0
zillionaire|0|0|0|1|0|0|0
dakota|0|0|0|0|0|0|2
mississ|1|0|0|1|0|0|0
chicago|3|1|0|0|1|1|2
zip|0|0|1|1|1|0|0
something’s|1|0|2|2|0|0|0
vic|0|0|0|0|0|0|10
nothin’|6|1|0|0|0|1|0
tasty|1|0|0|0|1|0|2
adrienne’s|0|0|0|0|0|0|1
character’s|1|0|0|0|0|0|1
cowlicky|0|0|0|0|1|0|0
slower|0|0|0|1|1|1|0
door’s|1|0|0|0|0|1|0
inventor|0|0|0|0|1|0|0
rests|0|0|0|0|1|0|0
happily|0|2|0|1|2|0|1
grave|0|0|0|0|1|0|1
subletting|0|0|0|0|1|2|1
‘where’s|0|1|0|0|0|0|0
schmair|0|0|0|0|0|0|1
penicillin|0|0|0|0|0|0|1
toward|0|1|0|2|0|0|1
revolution|0|0|0|1|0|0|1
midget|0|0|1|0|0|0|0
jovi|0|0|0|0|0|0|1
stupidly|0|0|0|0|0|0|1
isn’t’|0|0|0|0|0|0|1
depressing|0|2|0|2|0|1|1
yale|1|0|0|0|0|0|0
drama|2|0|1|1|0|0|1
sliced|1|0|0|0|1|0|0
macbeth|0|0|1|0|2|0|0
‘oh|2|0|0|0|0|0|0
‘ooh|1|0|0|1|0|0|0
