Written by| Seth Kirkland Transcribed by: Eric Aasen With Help from: Darcy Partridge Episodes Orginally Transcribed by: guineapig, Ruth Curran, Mindy Mattingly Phillips, Josh Hodge, Dan Silverstein, and Eric Aasen.
Monica| You know what this is, this is us getting ready for the prom.
Rachel| Oh.
Ross| You know what, you guys, we don't have to watch this.
All| Oh yeah we do. C'mon.
Mrs. Geller| Get a shot of Monica. Where's Monica.
Mr. Geller| Wait, how do you zoom out?  There she is.
Monica| Shut up, the camera adds ten pounds.
Chandler| Ahh, so how many cameras are actually on you?
Monica| Oh, dad, turn it off.
Mr. Geller| It is off. Right Ross? 
Joey| Lookin' good Mr. Cotter.
Rachel| I can't go to my own prom without a date, I can't, it's too late.
Monica| If you're not going then I don't want to go either.
Mrs. Geller|  I have a wonderful idea. You should take Rachel to the prom.
Ross| Y'know what? I think we've seen enough, let's turn it off.
All| No, no, no.
Ross| OK, fine, well I'm not gonna watch, alright.
Mr. Geller| C'mon kid, let's go.
Mrs. Geller| Ahh, are you hadsome.
Mr. Geller| Let's show 'em.
Ross|  Okay dad.
Mr. Geller|  Rachel, ready or not, here comes your knight in shining—Oh no. 
Rachel| Bye.
Monica| Bye.
Roy| Bye.
Chip| Bye.
Mrs. Geller| Oh, dear. Jack, how do I turn this off?
Ross| Yeah, well.
Phoebe| See, he's her lobster.
Monica|  Nooooo. You’re really not going?
Rachel| Yeah. It’s just gonna be too hard. Y’know? I mean, it’s Ross. How can I watch him get married? Y’know it’s just, it’s for the best, y’know it is, it’s… Y’know, plus, somebody’s got to stay here with Phoebe! Y’know she’s gonna be pretty big by then, and she needs someone to help her tie her shoes; drive her to the hospital in case she goes into labour.
Monica| You don’t have a car. And your license expired. 
Rachel| I know.  Yeah, see, there’s so much to do and I have so little time to do it in.
Chandler|" All right, check it out. Check this out. It says here that there’s a place you can go to rent videos of all the museums!  ""It’s almost as good as being there."""
Joey| It’s better! You can’t go to a museum in your underwear!
Chandler| Well, You could, but... probably just the one time.
Joey| I bet we could get videos of all the sites, get a VCR in our hotel room... we'd never even have to go outside!
Chandler| If we do that, we gotta get Die Hard.
Joey| Oh-ho! I bet the British version is gooooood!
