rachel|oh can ’ t believe ever let touch finger
phoebe|guy talking loved
phoebe|soo moving
phoebe|oh plus it ’ s it ’ s different stuff usually hear
chandler|mean like music
chandler|yeah know you ’ re thinkin ’
chandler|yes yes breast firm juicy
chandler|come
other|hey
other|oh god baywatch
chandler|uh yes uh watch article
other|joey around
chandler|he ’ s back yet he ’ ll minute
chandler|uh come
chandler|seat
chandler|bow stern
other|uh don ’ t really preference
chandler|like stern
chandler|boat
chandler|hello
joey|hey it ’ s
joey|listen casey way back little car trouble
chandler|happened
joey|broke parkway walk back get transmission fluid
joey|hey listen could please tell kathy i ’ ll soon
chandler|can ’ t tell
joey|‘ cause one quarter think time
chandler|joey
chandler|joey
joey|yeah
chandler|thought time ran
joey|guess couple
chandler|uhh joey
chandler|he ’ s running little late say he ’ s sorry
other|oh
chandler|guess it ’ s uh
other|oh okay
chandler|yeah think
other|today
chandler|oh appointment get haircut
other|oh look great
chandler|got canceled
other|well could cut
chandler|really
other|yeah
other|course learned aunt ’ s dog grooming shop hey say
chandler|dog grooming huh
chandler|okay don ’ t make tail poofy
other|really great hair
chandler|well thanks
chandler|grow
chandler|y ’ know also great hair joey
other|yes
other|yeah
other|joey great hair
other|umm i ’ m basically done
other|let get neck
chandler|‘ cha doin ’
other|checking see it ’ s even
chandler|‘ kay
other|look good
chandler|oh phone
chandler|phone ’ s making sound
chandler|hello
joey|hey dude it ’ s
chandler|hey it ’ s joey
joey|listen uh i ’ m really sorry look like i ’ m gon na stuck
joey|got transmission fluid went put car transmission wasn ’ t
joey|yeah must ’ ve fallen block back
joey|figured hit dog
chandler|okay
joey|listen uh could put kathy wan na apologize
chandler|oh yeah man
chandler|joey
other|hey
other|oh it ’ s fine don ’ t worry
other|yeah stop apologizing it ’ s okay
other|yeah
other|i ’ ll talk tomorrow
other|uh probably go
chandler|yeah
chandler|yes
chandler|yeah
other|forgot purse
chandler|oh
other|really forget purse
chandler|bad
chandler|it ’ s bad
chandler|bad
other|horrible
chandler|wait uh kiss situation
other|kiss good
chandler|okay
other|that ’ s bad
chandler|ooh
chandler|yes
chandler|okay
chandler|here ’ s forget happened
chandler|okay swallow feeling
chandler|even mean we ’ re unhappy forever
chandler|sound good
other|really
chandler|he ’ s best friend you ’ re seeing
other|chandler like joey lot
chandler|oh
chandler|don ’ t
chandler|don ’ t
chandler|see see you ’ re getting confused i ’ m starting urn
other|i ’ m sorry
other|wan na pretend nothing happened try
chandler|think
other|okay
other|bye
chandler|bye
chandler|still
ross|electrifying
ross|emphatic time time time
monica|yknow there ’ s starbucks three block
phoebe|it ’ s inspired
phoebe|look
phoebe|look go
ross|thank guy guy guy
monica|hey aren ’ t next
phoebe|oh i ’ m playing tonight
phoebe|can ’ t follow ross
phoebe|it ’ d like bicycle ridding chimp followed beetle
monica|phoebe ross suck
rachel|phoebe place emptied
phoebe|oh god he ’ s even appreciated time
phoebe|would give anything appreciated time
monica|okay
monica|umm phoebe suck
rachel|yeah phoebe you ’ re awful
phoebe|guy
phoebe|suck
joey|aww man
joey|can ’ t believe locked
chandler|hang buddy
joey|oh god
joey|happened
chandler|sure
chandler|well thought it ’ d make feel good something nice friend
joey|well you ’ re amazing
chandler|oh
chandler|amazing
joey|tv appears nowhere
joey|that ’ s dream
joey|man afford stuff
chandler|well y ’ know i ’ m 29
chandler|mean need saving account
joey|oh best friend anyone ever
chandler|oh don ’ t know
joey|oh
joey|give great advice hey listen thinking said yesterday focusing one woman i ’ m gon na
chandler|mean casey
joey|think i ’ m gon na see thing go kathy
joey|she ’ s pretty cool
chandler|casey
joey|kathy
chandler|could casey
joey|kathy
chandler|consider casey
joey|y ’ know think
joey|think somebody ’ s got little crush casey
joey|‘ bout fix two
joey|think
chandler|piece life falling right place
ross|hey
phoebe|hey
phoebe|really great
phoebe|really really great
ross|oh thanks thanks
ross|monica tell uh don ’ t want play anymore yknow talent
ross|true
phoebe|well kinda
phoebe|yeah
phoebe|yeah
ross|pheebs
phoebe|yeah can ’ t mean y ’ know trying really yknow okay upbeat feel dwarfed musical gift
ross|see pheebs exact opposite intent music
ross|y ’ know music meant inspire bother much won ’ t play anymore
phoebe|oh
phoebe|don ’ t
phoebe|could live knew depriving world music
ross|yeah okay
ross|hey chandler
ross|saw new furniture
ross|nice
monica|yeah
monica|joey best boyfriend ever
chandler|kissed kathy
monica|serious
phoebe|joey know
chandler|anyway anyway think he ’ ll understand
monica|obviously haven ’ t screwed lot friend
monica|appreciate
ross|sad thing told felt kissed knowing joey probably would ’ ve stepped aside
chandler|oh don ’ t say
chandler|don ’ t say
chandler|that ’ s true
phoebe|think maybe yeah
monica|love
chandler|didn ’ t tell
ross|well said said something phoebe
phoebe|yeah
phoebe|that ’ s right
phoebe|thought really good idea
rachel|know remember
monica|remember
chandler|god
chandler|gon na
rachel|well chandler you ’ re gon na tell
chandler|tell
chandler|yeah know
ross|hey would okay wrote song
chandler|hey
joey|hey
joey|samboucha margarita
chandler|real thing
joey|well samboucha
chandler|listen ah joe need need talk something
joey|what ’ s
chandler|it ’ s it ’ s kathy
chandler|umm uh like
chandler|like lot actually
chandler|yeah
joey|well you ’ re timing couldn ’ t better
joey|she ’ s girlfriend anymore
joey|yeah broke
chandler|oh uh
joey|acting class
joey|first thought kind scene that ’ s let people watch
chandler|oh man sorry
chandler|okay
joey|well i ’ ve better
joey|i ’ m right
joey|like huh
chandler|yes uh don ’ t
joey|it ’ s uh it ’ s okay
chandler|yeah
joey|yeah
joey|know
joey|‘ cause first
chandler|well thought would best thing
joey|hey listen know might you ’ re work cut
joey|‘ cause talked kinda got feeling she ’ s guy
chandler|see uh that ’ s that ’ s actually wanted talk
chandler|think know guy
chandler|it ’ s
chandler|i ’ m guy
chandler|yeah mean late last night kathy got talking one thing another
joey|sleep
chandler|kissed
joey|that ’ s even worse
chandler|worse
joey|don ’ t know
joey|it ’ s
chandler|look i ’ m sorry
chandler|there ’ s nothing think i ’ m love
joey|care
joey|went behind back
joey|would never
chandler|you ’ re right excuse
chandler|totally line
joey|line
joey|you ’ re you ’ re far past line can ’ t even see line
joey|line dot
chandler|yes
chandler|yes
chandler|right
chandler|feel horrible
chandler|believe
joey|bought stuff
joey|well y ’ know watch tv listen stereo there ’ s cinnamon raisin loaf new bread maker i ’ m gon na eat
joey|know
chandler|probably
joey|it ’ s tainted betrayal
joey|apartment empty
joey|i ’ m happy either
joey|oh know made bread
phoebe|oh god he ’ s lost
phoebe|he ’ s totally lost
rachel|phoebe music could get worse
rachel|rat basement hanging
ross|thank thanks
ross|yeah lost
ross|y ’ know i ’ m gon na play anymore would finish set
phoebe|yeah
phoebe|mean help
ross|yeah like could lose
ross|played bad purpose guy
monica|okay trying play bad whole time
ross|yeah last song
