character|line
ross|well y'know these people are pros
ross|they know what they're doing they take their time they get the job done
monica|boy i know they say you can't change your parents
monica|boy if you could i'd want yours
ross|must pee
phoebe|y'know it's even worse when you're twins
rachel|you're twins
phoebe|yeah
phoebe|we don't speak
phoebe|she's like this high powered driven career type
chandler|what does she do
phoebe|she's a waitress
rachel|all right you guys i kinda gotta clean up now
monica|chandler you're an only child right
monica|you don't have any of this
chandler|well no although i did have an imaginary friend who
chandler|my parents actually preferred
rachel|the lights please
ross|how long was i in there
rachel|i'm just cleaning up
ross|d'ya
ross|uh
ross|d'ya need any help
rachel|uh
rachel|okay sure
rachel|thanks
ross|anyway
ross|um
ross|so you uh you nervous about barry tomorrow
rachel|oh
rachel|a little
ross|mm hmm
rachel|a lot
ross|mm
rachel|so got any advice
rachel|y'know as someone who's recently been dumped
ross|well you may wanna steer clear of the word dumped'
ross|chances are he's gonna be this this broken shell of a man y'know so you should try not to look too terrific i know it'll be hard
ross|or y'know uh hey
ross|i'll go down there and i'll give barry back his ring and you can go with carol and susan to the ob gyn
rachel|oh you've got carol tomorrow
rachel|when did it get so complicated
ross|got me
rachel|remember when we were in high school together
ross|yeah
rachel|i mean didn't you think you were just gonna meet somone fall in love and that'd be it
rachel|ross
ross|yes yes
rachel|oh
rachel|man i never thought i'd be here
ross|me either
ross|sorry i'm late i was stuck at work
ross|there was this big dinosaur
ross|thing
ross|anyway
ross|how could i forget
ross|hello susan
ross|good shake
ross|good shake
ross|so uh we're just waiting for
ross|doctor oberman
ross|okay
ross|and is he
ross|she of course she uh familiar with our
ross|special situation
ross|okay that's great
ross|no i'm oh
ross|quack quack
rachel|barry
rachel|are you sure
rachel|i'm uh i'm okay
rachel|you look great
rachel|i dumped him
ross|so um so how's this uh how's this gonna work
ross|y'know with us
ross|y'know when like important decisions have to be made
ross|well uh uh i don't know okay okay how about with the uh with the baby's name
ross|marlon
ross|as in mouse
ross|still you you say minnie you hear mouse
ross|um how about um
ross|how about julia
ross|s'funny um uh we agreed we'd spend the rest of our lives together
ross|things change roll with the punches
ross|i believe julia's on the table
rachel|oh not much
rachel|i i got a job
rachel|why are why are you so tanned
rachel|oh no
rachel|you went on our honeymoon alone
rachel|mindy
rachel|my maid of honour mindy
rachel|oh
rachel|well um
rachel|you've got plugs
rachel|and you've got lenses
rachel|but you hate sticking your finger in your eye
rachel|okay
rachel|wow
rachel|what
rachel|anyway um i guess this belongs to you
rachel|and thank you for giving it to me
ross|helen geller
ross|i don't think so
ross|thank you
ross|what it's gonna be helen willick
ross|well wait a minute wha why is she in the title
ross|oh s'funny really
ross|um i don't remember you making any sperm
ross|no no no she gets a credit hey i'm in there too
ross|of course not i'm
ross|suggesting geller willick bunch
ross|my way
ross|you you think this is my way
ross|believe me of all the ways i ever imagined this moment in my life being this is not my way y'know what
ross|uh um this is too hard
ross|i'm not i can't do
ross|you uh y'know what i'm gonna go
ross|i don't i don't think i can be involved in this particular thing right now
ross|oh my god
ross|well
ross|isn't that amazing
joey|what are we supposed to be seeing here
chandler|i dunno but
chandler|i think it's about to attack the enterprise
phoebe|you know if you tilt your head to the left and relax your eyes it kinda looks like an old potato
ross|then don't do that alright
phoebe|okay
ross|monica
ross|whaddya think
monica|mm hmm
ross|wh are you welling up
monica|no
ross|you are you're welling up
monica|am not
ross|you're gonna be an aunt
monica|oh shut up
rachel|hi mindy
rachel|hi it it's rachel
rachel|yeah i'm fine
rachel|i i saw barry today
rachel|oh yeah yeah he he told me
rachel|no no it's okay
rachel|i hope you two are very happy i really do
rachel|oh oh and mind y'know if if everything works out and you guys end up getting married and having kids and everything i just hope they have his old hairline and your old nose
rachel|okay i know it was a cheap shot but i feel so much better now
rachel|end
phoebe|hi guys
ross|hey
ross|oh oh how'd it go
phoebe|um not so good
phoebe|he walked me to the subway and said we should do this again
rachel|what
rachel|he said we should do it again that's good right
monica|uh no
monica|loosely translated we should do this again means you will never see me naked'
rachel|since when
joey|since always
joey|it's like dating language
joey|y'know like it's not you means it is you'
chandler|or you're such a nice guy means i'm gonna be dating leather wearing alcoholics and complaining about them to you'
phoebe|or or y'know um i think we should see other people means ha ha i already am'
rachel|and everybody knows this
joey|yeah
joey|cushions the blow
chandler|yeah it's like when you're a kid and your parents put your dog to sleep and they tell you it went off to live on some farm
ross|that's funny that no because uh our parents actually did uh send our dog off to live on a farm
monica|uh ross
ross|what
ross|wh hello
ross|the millners farm in connecticut
ross|the millners they had this unbelievable farm they had horses and and rabbits that he could chase and it was it w
ross|oh my god chi chi
chandler|so how does it feel knowing you're about to die
joey|warden in five minutes my pain will be over
joey|but you'll have to live with the knowledge that you sent an honest man to die
chandler|hey that was really good
joey|thanks
joey|let's keep going
chandler|okay
chandler|so
chandler|whaddya want from me damone huh
joey|i just wanna go back to my cell
joey|cause in my cell i can smoke
chandler|smoke away
chandler|i think this is probably why damone smokes in his cell alone
joey|what
chandler|relax your hand
chandler|not so much
joey|whoah
chandler|hey
joey|hey
chandler|alright now try taking a puff
chandler|alright
chandler|okay
chandler|no
chandler|give it to me
joey|no no no i am not giving you a cigarette
chandler|it's fine it's fine
chandler|look do you wanna get this part or not
chandler|here
chandler|don't think of it as a cigarette
chandler|think of it as the thing that's been missing from your hand
chandler|when you're holding it you feel right
chandler|you feel complete
joey|y'miss it
chandler|nah not so much
chandler|alright now we smoke
chandler|oh
chandler|my
chandler|god
monica|no no no
monica|they say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger
joey|that's ridiculous
ross|can i use
ross|either thumb
rachel|alright don't tell me don't tell me
rachel|decaf cappucino for joey
rachel|coffee black
rachel|late
rachel|and an iced tea
rachel|i'm getting pretty good at this
rachel|good for me
joey|y'okay phoebe
phoebe|yeah no i'm just it's i haven't worked it's my bank
monica|what did they do to you
phoebe|it's nothing it's just okay
phoebe|i'm going through my mail and i open up their monthly you know statement
ross|easy
phoebe|and there's five hundred extra dollars in my account
chandler|oh satan's minions at work again
phoebe|yes cause now i have to go down there and deal with them
joey|what are you talking about
joey|keep it
phoebe|it's not mine i didn't earn it if i kept it it would be like stealing
rachel|yeah but if you spent it it would be like shopping
phoebe|okay
phoebe|okay let's say i bought a really great pair of shoes
phoebe|do you know what i'd hear with every step i took
phoebe|not mine
phoebe|not mine
phoebe|not mine
phoebe|and even if i was happy okay and and skipping not not mine not not mine not not mine not not mine'
monica|we're with you
monica|we got it
phoebe|okay
phoebe|i'd just i'd never be able to enjoy it
phoebe|it would be like this giant karmic debt
rachel|chandler what are you doing
monica|hey
monica|whaddya doing
ross|what is this
chandler|i'm smoking
chandler|i'm smoking i'm smoking
phoebe|oh i can't believe you
phoebe|you've been so good for three years
chandler|and this is my reward
ross|hold on a second alright
ross|just think about what you went through the last time you quit
chandler|okay so this time i won't quit
chandler|all right
chandler|i'm putting it out i'm putting it out
phoebe|oh no
phoebe|i i can't drink this now
monica|alright
monica|i'm gonna go change i've got a date
rachel|this alan again
rachel|how's it goin'
monica|s'going pretty good y'know
monica|it's nice and we're having fun
joey|so when do we get to meet the guy
monica|let's see today's monday
monica|never
monica|no
monica|not after what happened with steve
chandler|what are you talking about
chandler|we love schhteve
chandler|schhteve was schhexy
chandler|sorry
monica|look i don't even know how i feel about him yet
monica|just give me a chance to figure that out
rachel|well then can we meet him
monica|nope
monica|schhorry
monica|i mean why should i let them meet him
monica|i mean i bring a guy home and within five minutes they're all over him
monica|i mean they're like coyotes picking off the weak members of the herd
monica|i know
monica|i just wish that once i'd bring a guy home that they actually liked
joey|let it go ross
ross|yeah well you didn't know chi chi
monica|do you all promise
monica|chandler
monica|do you promise to be good
joey|you can come in but your filter tipped little buddy has to stay outside
ross|hey pheebs
phoebe|dear ms
phoebe|buffay
phoebe|thank you for calling attention to our error
phoebe|we have credited your account with five hundred dollars
phoebe|we're sorry for the inconvenience and hope you'll accept this football phone as our free gift
phoebe|do you believe this
phoebe|now i have a thousand dollars and a football phone
rachel|what bank is this
monica|hey
monica|it's him
monica|who is it
joey|chandler
joey|he's here
monica|okay please be good please
monica|just remember how much you all like me
monica|hi
monica|alan this is everybody
monica|everybody this is alan
monica|thanks
monica|i'll call you tomorrow
monica|okay
monica|okay let's let the alan bashing begin
monica|who's gonna take the first shot hmm
monica|c'mon
ross|i'll go
ross|let's start with the way he kept picking at no i'm sorry i can't do this can't do this
ross|we loved him
monica|wait a minute
monica|we're talking about someone that i'm going out with
rachel|and did you notice
joey|know what was great
joey|the way his smile was kinda crooked
phoebe|yes yes
phoebe|like the man in the shoe
ross|what shoe
phoebe|from the nursery rhyme
phoebe|there was a crooked man who had a crooked smile who lived in a shoe for a
phoebe|while
ross|so i think alan will become the yardstick against which all future boyfriends will be measured
rachel|what future boyfriends
rachel|nono i th i think this could be y'know it
monica|really
chandler|oh yeah
chandler|i'd marry him just for his david hasselhof impression alone
chandler|you know i'm gonna be doing that at parties right
ross|you know what i like most about him though
ross|the way he makes me feel about myself
monica|hi
monica|how was the game
ross|well
monica|fantastic
monica|i have one question how is that possible
joey|alan
ross|he was unbelievable
ross|he was like that that that bugs bunny cartoon where bugs is playing all the positions right but instead of bugs it was first base alan second base alan third base
rachel|i mean it it was like it was like he made us into a team
chandler|yep we sure showed those hassidic jewellers a thing or two about softball
monica|can i ask you guys a question
monica|d'you ever think that alan is maybe
monica|sometimes
ross|what
monica|i dunno a little too alan
rachel|well no
rachel|that's impossible
rachel|you can never be too alan
ross|yeah it's his uh innate alan ness that that that we adore
chandler|i personally could have a gallon of alan
phoebe|hey lizzie
phoebe|i brought you alphabet soup
phoebe|yes
phoebe|but i left in the ys
phoebe|cause y'know sometimes y
phoebe|uh i also have something else for you
phoebe|no but would you like a thousand dollars and a football phone
phoebe|i know
phoebe|no i want you to have it
phoebe|i don't want it
phoebe|oh that's fine no
phoebe|no
phoebe|cause you need that
phoebe|no it's okay thanks
phoebe|okay alright you buy me a soda and then we're even
phoebe|okay
phoebe|okay
phoebe|no i'm fine
phoebe|huh
ross|a thumb
phoebe|i know
phoebe|i know i opened it up and there it was just floating in there like this tiny little hitch hiker
chandler|well maybe it's a contest y'know
chandler|like collect all five
phoebe|does um anyone wanna see
rachel|it's worse than the thumb
chandler|hey this is so unfair
monica|oh why is it unfair
chandler|so i have a flaw
chandler|big deal
chandler|like joey's constant knuckle cracking isn't annoying
chandler|and ross with his over pronouncing every single word
chandler|and monica with that snort when she laughs
chandler|i mean what the hell is that thing
chandler|i accept all those flaws why can't you accept me for this
joey|does the knuckle cracking bother everybody
rachel|well i i could live without it
joey|well is it like a little annoying or is it like when phoebe chews her hair
ross|oh now don't listen to him pheebs i think it's endearing
joey|oh you do do you
ross|you know there's nothing wrong with speaking correctly
rachel|indeed there isn't
rachel|i should really get back to work
phoebe|yeah cause otherwise someone might get what they actually ordered
rachel|ohh ho hooohhh
rachel|the hair comes out and the gloves come on
monica|did you ever go out with a guy your friends all really like
monica|okay
monica|well i'm going out with a guy my friends all really like
monica|can you believe it
monica|y'know what
monica|i just don't feel the thing
monica|i mean they feel the thing i don't feel the thing
monica|i know
monica|it's gonna be really hard
monica|no he'll be fine
monica|it's the other five i'm worried about
joey|do you have any respect for your body
ross|don't you realise what you're you're doing to yourself
chandler|hey y'know i have had it with you guys and your cancer and your emphysema and your heart disease
chandler|the bottom line is smoking is cool and you know it
rachel|chandler
rachel|it's alan he wants to speak to you
chandler|really
chandler|he does
chandler|hey buddy what's up
chandler|oh she told you about that huh
chandler|well yeah i have one now and then
chandler|well yeah now
chandler|well it's not that big
chandler|well that's true
chandler|gee y'know no one no one's ever put it like that before
chandler|well okay thanks
rachel|god he's good
ross|if only he were a woman
rachel|yeah
chandler|ooh lambchop
chandler|how old is that sock
chandler|if i had a sock on my hand for thirty years it'd be talking too
ross|okay
ross|i think it's time to change somebody's nicotine patch
monica|hey
monica|where's joey
chandler|joey ate my last stick of gum so i killed him
chandler|do you think that was wrong
rachel|i think he's across the hall
monica|thanks
ross|there y'go
chandler|ooh i'm alive with pleasure now
ross|hey pheebs you gonna have the rest of that pop tart
ross|pheebs
phoebe|does anyone want the rest of this pop tart
ross|hey i might
phoebe|sorry
phoebe|y'know those stupid soda people gave me seven thousand dollars for the thumb
phoebe|and on my way over here i stepped in gum
phoebe|what is up with the universe
joey|what's going on
monica|nothing
monica|i just think it's nice when we're all here together
joey|even nicer when everyone gets to wear their underwear
rachel|uh joey
joey|oh god
monica|okay
monica|please guys we have to talk
phoebe|wait wait i'm getting a deja vu
phoebe|no i'm not
monica|alright we have to talk
phoebe|there it is
monica|okay
monica|it's it's about alan
monica|there's something that you should know
monica|i mean there's really no easy way to say this
monica|uh
monica|i've decided to break up with alan
ross|is there somebody else
monica|no nononono
monica|it's just
monica|things change
monica|people change
rachel|we didn't change
joey|so that's it
joey|it's over
joey|just like that
phoebe|you know
phoebe|you let your guard down you start to really care about someone and i just i
monica|look i i could go on pretending
joey|okay
